iy,id,it,imin,qn,qh,qe,qs,qf,U,RH,Tair,pres,rain,kdown,snow,ldown,fcld,Wuh,xsmd,lai,kdiff,Kdir,wdir
2017,268,7,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,94,23.33,29.19,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.145,-999.00,-999.00,24,-999.00
2017,268,8,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,90,23.89,29.2,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.145,-999.00,-999.00,71,-999.00
2017,268,9,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,88,25.00,29.21,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.146,-999.00,-999.00,114,-999.00
2017,268,10,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,82,26.11,29.21,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.145,-999.00,-999.00,583,-999.00
2017,268,11,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,72,27.78,29.2,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.148,-999.00,-999.00,771,-999.00
2017,268,12,0,-999.00,-999.00,-999.00,-999.00,-999.00,9,61,29.44,29.17,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.147,-999.00,-999.00,572,-999.00
2017,268,13,0,-999.00,-999.00,-999.00,-999.00,-999.00,11,53,30.56,29.15,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.148,-999.00,-999.00,692,-999.00
2017,268,14,0,-999.00,-999.00,-999.00,-999.00,-999.00,9,47,31.67,29.13,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.148,-999.00,-999.00,731,-999.00
2017,268,15,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,50,31.11,29.1,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.15,-999.00,-999.00,769,-999.00
2017,268,16,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,51,30.56,29.1,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.149,-999.00,-999.00,148,-999.00
2017,268,17,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,67,28.33,29.1,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.15,-999.00,-999.00,53,-999.00
2017,268,18,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,85,25.56,29.1,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.149,-999.00,-999.00,0,-999.00
2017,268,19,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,79,26.11,29.12,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.148,-999.00,-999.00,0,-999.00
2017,268,20,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,74,26.67,29.12,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.148,-999.00,-999.00,0,-999.00
2017,268,21,0,-999.00,-999.00,-999.00,-999.00,-999.00,8,71,26.67,29.15,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.147,-999.00,-999.00,0,-999.00
2017,268,22,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,74,26.11,29.16,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.147,-999.00,-999.00,0,-999.00
